car,track,frame,mode,draw,present,road,faces,upscale,player,opponents,total
2,2,9,1,111702,31472,12676,108,20236,27564,42552,143174
2,2,10,0,125286,31483,16350,108,20218,31444,48534,156769
2,2,10,1,122884,31471,13929,108,20236,31440,48553,154355
2,2,11,0,125333,31441,34843,540,20250,33749,27738,156774
2,2,11,1,125548,31462,33524,540,20270,34032,28778,157010
2,2,12,0,134421,31690,17688,127,20226,34639,53052,166111
2,2,12,1,130402,31508,13841,127,20241,34646,53023,161910
3,0,1,0,123868,31465,12854,68,20231,37747,44185,155333
3,0,1,1,146050,31499,13864,68,20224,37751,44026,177549
3,0,2,0,125204,31475,15788,118,20207,37415,42899,156679
3,0,2,1,126363,31503,16947,118,20219,37374,42933,157866
3,0,3,0,102626,31455,14256,95,20223,36718,22505,134081
3,0,3,1,104131,31458,14262,95,20228,37937,22669,135589
3,0,4,0,128042,31466,12706,46,20222,40650,45534,159508
3,0,4,1,128151,31501,12717,46,20234,40627,45509,159652
3,0,5,0,136419,31477,25172,312,20232,37895,44229,167896
3,0,5,1,137334,31433,25238,312,20236,38574,44325,168767
3,0,6,0,127133,31473,15821,138,20243,37831,44291,158606
3,0,6,1,149522,31505,16897,138,20232,37798,44284,181027
3,0,7,0,107225,31415,13233,68,20237,40988,23695,138640
3,0,7,1,106754,31499,13265,68,20215,41009,23232,138253
3,0,8,0,140969,31479,15644,111,20230,44430,51587,172448
3,0,8,1,140907,31474,14575,111,20250,44641,52652,172381
3,0,9,0,134376,31460,14152,95,20458,42143,48730,165836
3,0,9,1,134244,31468,14185,95,20224,42084,48726,165712
3,0,10,0,137971,31486,12238,42,20226,44677,51817,169457
3,0,10,1,137203,31472,12222,42,20229,44660,51266,168675
3,0,11,0,121823,31469,24063,370,20225,44911,23641,153292
3,0,11,1,121959,31445,24097,370,20243,44918,23585,153404
3,0,12,0,155185,31451,18191,194,20453,39742,46107,186636
3,0,12,1,133204,31502,17130,194,20251,40227,46641,164706
3,1,1,0,141127,31480,18596,196,20237,43776,49570,172607
3,1,1,1,140845,31476,18361,196,20233,43750,49621,172321
3,1,2,0,118986,31463,19028,123,20242,33379,37283,150449
3,1,2,1,118081,31470,19008,123,20232,32824,37143,149551
3,1,3,0,108039,31464,13665,61,20230,41765,23351,139503
3,1,3,1,108191,31443,13725,61,20236,41825,23191,139634
3,1,4,0,141193,31492,12648,62,20230,46032,53137,172685
3,1,4,1,163663,31632,13682,62,20209,45718,53123,195295
3,1,5,0,145130,31470,20716,244,20226,45172,50057,176600
3,1,5,1,142771,31470,19587,244,20220,44032,49851,174241
3,1,6,0,118409,31526,19182,123,20241,32847,37165,149935
3,1,6,1,118573,31474,19141,123,20232,33104,37186,150047
3,1,7,0,107839,31464,13415,61,20243,41826,23264,139303
3,1,7,1,107928,31444,13407,61,20232,41822,23306,139372
3,1,8,0,140793,31487,12589,62,20212,45799,53048,172280
3,1,8,1,140596,31522,12549,62,20219,45749,53110,172118
3,1,9,0,141386,31471,18499,196,20220,43917,49788,172857
3,1,9,1,141847,31462,18531,196,20242,43932,50062,173309
3,1,10,0,141009,31463,20116,123,20238,32839,37130,172472
3,1,10,1,118376,31468,19104,123,20256,32838,37123,149844
3,1,11,0,109003,31428,14619,93,20224,41796,23280,140431
3,1,11,1,111760,31434,15696,93,20278,42015,24407,143194
3,1,12,0,149251,31496,14644,110,20231,49300,55994,180747
3,1,12,1,149945,31491,14701,110,20238,49513,56440,181436
3,2,1,0,141295,31480,15711,83,20249,44360,52356,172775
3,2,1,1,137970,31488,12210,83,20227,44399,52543,169458
3,2,2,0,157202,31458,26440,330,20236,46057,55265,188660
3,2,2,1,176826,31466,24864,330,20248,45988,55275,208292
