car,track,frame,mode,draw,present,road,faces,upscale,player,opponents,total
4,2,3,0,109663,31436,18735,129,20232,36457,25498,141099
4,2,3,1,105291,31449,14901,129,20220,35878,25387,136740
4,2,4,0,151027,31468,14034,139,20223,42184,65959,182495
4,2,4,1,148112,31463,11213,139,20210,42143,66052,179575
4,2,5,0,133478,31495,14597,64,20223,36565,53495,164973
4,2,5,1,128622,31475,11104,64,20213,35376,53274,160097
4,2,6,0,141890,31466,30723,541,20236,32612,49689,173356
4,2,6,1,162031,31440,29951,541,20229,31966,49612,193471
4,2,7,0,105685,31423,20450,217,20249,31614,24523,137108
4,2,7,1,103991,31464,18635,217,20243,31566,24559,135455
4,2,8,0,126162,31459,13698,89,20190,33448,50074,157621
4,2,8,1,124111,31446,10625,89,20193,34021,50477,155557
4,2,9,0,116395,31464,15709,108,20187,28837,43128,147859
4,2,9,1,113231,31474,12534,108,20205,28802,43023,144705
4,2,10,0,127036,31454,16115,108,20213,32617,49390,158490
4,2,10,1,123755,31471,12555,108,20219,32861,49490,155226
4,2,11,0,124319,31416,34527,540,20231,34929,25289,155735
4,2,11,1,123843,31456,33201,540,20265,35137,26398,155299
4,2,12,0,158553,31437,18375,127,20215,36006,53479,189990
4,2,12,1,133267,31469,14747,127,20202,36026,53452,164736
5,0,1,0,125188,31478,12568,68,20239,32225,51465,156666
5,0,1,1,125230,31464,12546,68,20232,32233,51512,156694
5,0,2,0,127034,31472,15566,118,20224,32095,50354,158506
5,0,2,1,127407,31442,15544,118,20214,32388,50459,158849
5,0,3,0,103056,31439,14497,95,20214,31297,28026,134495
5,0,3,1,103833,31453,14067,95,20199,32347,28166,135286
5,0,4,0,130149,31455,12519,46,20210,35466,53050,161604
5,0,4,1,152764,31459,13541,46,20213,35509,53081,184223
5,0,5,0,138232,31507,25011,312,20249,32449,51781,169739
5,0,5,1,139976,31464,26162,312,20218,32479,52083,171440
5,0,6,0,129818,31466,16108,138,20208,32217,52255,161284
5,0,6,1,129025,31450,15604,138,20222,32198,52224,160475
5,0,7,0,105986,31455,13060,68,20217,35065,28727,137441
5,0,7,1,106059,31451,13063,68,20228,35058,28701,137510
5,0,8,0,141613,31462,14397,111,20222,38449,59689,173075
5,0,8,1,144135,31468,14385,111,20245,39227,61461,175603
5,0,9,0,135907,31440,13975,95,20230,35966,56926,167347
5,0,9,1,136010,31447,13996,95,20235,35981,56904,167457
5,0,10,0,161857,31458,13047,42,20191,38593,59411,193315
5,0,10,1,140378,31485,13118,42,20212,38614,59375,171863
5,0,11,0,120845,31440,23833,370,20256,38646,29123,152285
5,0,11,1,121659,31468,23885,370,20236,38851,29667,153127
5,0,12,0,133916,31490,16894,194,20245,33818,54061,165406
5,0,12,1,133845,31473,16872,194,20247,33830,54089,165318
5,1,1,0,142307,31476,18122,196,20230,37695,57419,173783
5,1,1,1,142291,31460,18117,196,20220,37661,57453,173751
5,1,2,0,143072,31443,19832,123,20226,27794,44560,174515
5,1,2,1,121359,31479,19924,123,20212,27781,44319,152838
5,1,3,0,107399,31444,13434,61,20204,35932,28762,138843
5,1,3,1,108303,31453,13480,61,20211,36132,29275,139756
5,1,4,0,142544,31423,12414,62,20211,39594,61185,173967
5,1,4,1,142406,31476,12398,62,20229,39599,61226,173882
5,1,5,0,145977,31484,19347,244,20232,39545,57976,177461
5,1,5,1,144172,31481,19357,244,20231,37888,57690,175653
5,1,6,0,120197,31453,18912,123,20238,27796,44220,151650
5,1,6,1,120092,31476,18882,123,20236,27821,44241,151568
5,1,7,0,129802,31457,14535,61,20221,35921,28768,161259
5,1,7,1,107237,31481,13253,61,20233,35879,28769,138718
5,1,8,0,145000,31478,13447,62,20720,39775,61710,176478
5,1,8,1,142347,31480,12335,62,20225,39574,61218,173827
5,1,9,0,142942,31467,18266,196,20212,37876,57705,174409
5,1,9,1,143030,31445,18280,196,20228,37834,57685,174475
5,1,10,0,120178,31482,18857,123,20239,27802,44225,151660
5,1,10,1,120596,31464,18832,123,20227,27782,44816,152060
5,1,11,0,108373,31461,14339,93,20231,35956,28816,139834
5,1,11,1,109926,31453,14373,93,20238,36153,29947,141379
5,1,12,0,150138,31467,14420,110,20221,42181,64257,181605
5,1,12,1,150466,31470,14429,110,20468,42314,64312,181936
5,2,1,0,143177,31470,15395,83,20227,38337,60637,174647
5,2,1,1,139849,31487,12047,83,20235,38327,60660,171336
5,2,2,0,158548,31474,26095,330,20252,39808,63695,190022
5,2,2,1,156595,31454,23573,330,20255,40361,63763,188049
5,2,3,0,112206,31435,18748,129,20223,35576,28866,143641
5,2,3,1,109800,31444,14929,129,20261,35784,29996,141244
5,2,4,0,153313,31459,13985,139,20215,41723,68759,184772
5,2,4,1,150461,31487,11229,139,20210,41742,68792,181948
5,2,5,0,133850,31484,14597,64,20222,34988,55419,165334
5,2,5,1,159902,31495,18175,64,20218,35542,55528,191397
5,2,6,0,143259,31453,30710,541,20233,31411,52265,174712
5,2,6,1,141633,31489,28871,541,20246,31454,52494,173122
5,2,7,0,109096,31466,20482,217,20242,31456,28113,140562
5,2,7,1,105467,31445,17512,217,20217,30864,27968,136912
5,2,8,0,129431,31442,13698,89,20215,34136,52673,160873
5,2,8,1,124953,31444,10665,89,20202,33003,52473,156397
5,2,9,0,118572,31457,15919,108,20204,28167,45670,150029
5,2,9,1,115175,31420,12524,108,20210,28161,45560,146595
5,2,10,0,128886,31997,16092,108,20219,32158,51770,160883
5,2,10,1,154248,31487,19720,108,20195,32140,51844,185735
5,2,11,0,126871,31441,34561,540,20233,34566,28762,158312
5,2,11,1,125566,31428,33217,540,20251,34541,28736,156994
5,2,12,0,138237,31466,17315,127,20226,35420,56526,169703
5,2,12,1,134150,31945,13627,127,20226,35349,56284,166095
6,0,1,0,127531,31448,12541,68,20194,38725,47287,158979
6,0,1,1,127574,31456,12588,68,20224,38731,47255,159030
6,0,2,0,129791,31489,15544,118,20225,38427,46719,161280
6,0,2,1,157839,31441,22632,118,20227,38429,46200,189280
6,0,3,0,104811,31438,14027,95,20231,37797,23762,136249
6,0,3,1,104902,31464,14021,95,20221,37798,23739,136366
6,0,4,0,132480,31478,12498,46,20210,41710,49160,163958
6,0,4,1,131936,31460,12525,46,20233,41589,48864,163396
6,0,5,0,141918,31473,24975,312,20251,39210,48672,173391
6,0,5,1,140626,31458,25012,312,20249,38945,47511,172084
