car,track,frame,mode,draw,present,prepare,raster,blit,player,opponents,candidates,before,after,rows,total
3,0,6,0,144624,31478,24507,47212,11070,38352,44564,26,2912,2912,336,176102
3,0,6,1,119726,31500,24456,47334,8515,37389,44137,26,2912,804,336,151226
3,0,7,0,98283,31419,18113,30630,6980,38433,23456,33,3696,3696,224,129702
3,0,7,1,96899,31463,18181,30605,5493,37362,23120,33,3696,687,224,128362
3,0,8,0,125000,31483,24239,47082,17911,41898,47447,47,5264,5264,336,156483
3,0,8,1,123408,31493,24290,47067,16389,41407,46464,47,5264,1615,336,154901
3,0,9,0,136795,31499,24770,48489,12662,39637,46421,31,3472,3472,336,168294
3,0,9,1,134078,31455,24242,48342,10536,38629,44606,31,3472,1112,336,165533
3,0,10,0,134054,31482,24186,49354,12244,39709,46195,25,2800,2800,336,165536
3,0,10,1,131275,31473,24146,49398,9566,38323,44905,25,2800,780,336,162748
3,0,11,0,132195,31427,18072,31412,6795,39292,23124,18,2016,2016,224,163622
3,0,11,1,106519,31449,18137,31383,5563,38265,22961,18,2016,543,224,137968
3,0,12,0,127857,31463,24473,49444,12013,39252,48003,23,2576,2576,336,159320
3,0,12,1,121953,31491,24273,49372,9387,38281,44896,23,2576,752,336,153444
3,0,13,0,124480,31464,24194,50299,12595,39836,47373,23,2576,2576,336,155944
3,0,13,1,123008,31474,24262,50301,10970,39500,46155,23,2576,867,336,154482
3,0,14,0,128265,31496,24278,51956,15450,42697,49107,28,3136,3136,336,159761
3,0,14,1,126425,31467,24368,52512,13276,42122,48163,28,3136,1075,336,157892
3,0,15,0,104082,31443,18218,34764,9999,45254,23946,22,2464,2464,224,135525
3,0,15,1,103052,31430,18227,34781,8807,44272,23762,22,2464,969,224,134482
3,0,16,0,135817,31459,24305,57679,16178,45519,52765,25,2800,2800,336,167276
3,0,16,1,135143,31488,24358,57989,15219,45239,52462,25,2800,1237,336,166631
3,0,17,0,133908,31475,24273,55441,15170,43953,51053,25,2800,2800,336,165383
3,0,17,1,167348,31460,24196,55973,13608,43138,51848,25,2800,1091,336,198808
3,0,18,0,131414,31428,24257,54623,15158,43551,50605,26,2912,2912,336,162842
3,0,18,1,129090,31433,24274,54617,13019,42547,49478,26,2912,1037,336,160523
3,0,19,0,104665,31969,18208,34488,9203,44123,23933,21,2352,2352,224,136634
3,0,19,1,104124,31419,18246,34444,8262,43359,23790,21,2352,819,224,135543
3,0,20,0,135424,31438,24267,57650,18089,46535,53597,27,3024,3024,336,166862
3,0,20,1,132345,31482,24255,57600,15276,45255,51990,27,3024,1280,336,163827
